Name,Age,GPA,Credits Completed,Year,Pathway
Mack Brown,18,2.55,37,Sophomore,Early College
Josh Davis,14,1.25,28,Junior,Computer Science
Jill Miller,18,4.22,37,Freshmen,Engineering
Matthew Davis,16,2.93,10,Junior,Early College
Emma Rulli,14,2.84,23,Freshmen,Engineering
Markus Johnson,16,3.86,12,Sophomore,Criminal Justice
Jane Robinson,14,1.6,42,Freshmen,Engineering
Daniel Anderson,16,3.99,22,Junior,Computer Science
Dave Miller,18,1.46,7,Freshmen,Marketing
Daniel Jordan,16,0.62,38,Victory Lap,Criminal Justice
Christina Robinson,18,3.25,3,Victory Lap,Bio Med
Jill Smith,17,2.13,8,Freshmen,Computer Science
Jill Savoie,15,2.87,44,Sophomore,Bio Med
Aiden Rulli,19,1.15,49,Senior,Engineering
Daniel Lewis,14,2.25,30,Sophomore,Engineering
Jane Bradberry,14,2.12,30,Freshmen,Early Childhood Education
Rachel Miller,19,3.01,5,Sophomore,Early College
Christina Rulli,19,2.15,45,Victory Lap,Marketing
Jill Smith,15,4.1,19,Victory Lap,Computer Science
Patrick Jordan,15,0.49,43,Freshmen,Business
Lisa Miller,15,2.48,11,Junior,Early Childhood Education
Joey Patel,16,4.02,42,Freshmen,Early Childhood Education
Marge Rulli,16,0.95,25,Senior,Business
Noah Jones,15,0.92,50,Freshmen,Culinary
Rachel Jones,15,4.14,34,Senior,Criminal Justice
Patrick Savoie,15,3.75,50,Senior,Bio Med
Jordan Johnson,18,3.54,38,Junior,Marketing
Christina Jones,14,2.31,48,Victory Lap,Culinary
Jordan Bradberry,16,4.16,54,Senior,Engineering
Noah Jones,14,2.23,1,Sophomore,Early College
Christina Johnson,16,1.22,23,Freshmen,Culinary
Jordan Jordan,16,2.07,32,Junior,Business
Marge Jones,19,0.32,54,Victory Lap,Marketing
Catherine Lewis,18,2.97,1,Victory Lap,Engineering
Noah Smith,19,3.13,26,Sophomore,Marketing
Emma Jordan,18,3.39,9,Freshmen,Early Childhood Education
Aiden Smith,15,0.39,16,Sophomore,Early College
Daniel Garcia,16,2.43,32,Sophomore,Business
Aiden Smith,15,1.32,38,Freshmen,Business
Jill Brown,16,1.37,51,Victory Lap,Business
Patrick Smith,14,1.05,41,Sophomore,Business
Rachel Savoie,18,1.7,4,Sophomore,Bio Med
Josh Brown,16,3.88,20,Senior,Computer Science
Ben Smith,15,2.7,34,Victory Lap,Bio Med
Emma Robinson,14,2.2,31,Senior,Early Childhood Education
Rachel Jones,15,2.36,41,Freshmen,Criminal Justice
Aiden Davis,15,2.75,50,Victory Lap,Bio Med
Rachel Jones,15,2.72,58,Victory Lap,Culinary
Patrick Garcia,16,2.94,25,Senior,Early College
Rachel Smith,19,2.27,21,Victory Lap,Criminal Justice
Jordan Johnson,16,3.66,1,Victory Lap,Bio Med
Noah Savoie,16,1.33,30,Senior,Early College
Josh Robinson,15,0.9,51,Senior,Engineering
Ben Bradberry,19,2.33,37,Sophomore,Marketing
Jordan Brown,19,0.9,50,Junior,Criminal Justice
Emma Miller,18,0.33,25,Senior,Marketing
Christina Smith,17,2.01,11,Sophomore,Engineering
Josh Garcia,16,2.05,57,Senior,Marketing
Matthew Bradberry,16,2.84,50,Freshmen,Early College
Stephanie Lewis,18,4.2,46,Freshmen,Early Childhood Education
Patrick Patel,16,3.31,39,Victory Lap,Culinary
Jill Anderson,18,3.25,41,Freshmen,Marketing
Christina Rulli,18,2.78,44,Junior,Early Childhood Education
Ben Miller,19,3.71,50,Senior,Computer Science
Christina Miller,15,2.32,47,Junior,Early Childhood Education
Jill Jordan,15,2.57,29,Senior,Bio Med
Rachel Garcia,14,1.65,58,Senior,Early Childhood Education
Markus Savoie,15,1.36,43,Victory Lap,Culinary
Emma Rulli,17,3.86,45,Junior,Culinary
Joey Miller,19,3.55,7,Sophomore,Criminal Justice
Rachel Jordan,18,3.39,27,Freshmen,Business
Patrick Garcia,18,1.49,53,Freshmen,Business
Dave Jordan,19,3.43,50,Junior,Bio Med
Patrick Rulli,15,0.38,44,Senior,Culinary
Catherine Bradberry,17,3.58,28,Victory Lap,Bio Med
Rachel Lewis,15,3.57,16,Junior,Bio Med
Patrick Johnson,16,1.2,31,Freshmen,Bio Med
Rachel Brown,14,0.56,9,Sophomore,Bio Med
Ben Lewis,15,3.23,57,Victory Lap,Early Childhood Education
Christina Johnson,15,3.38,51,Victory Lap,Early Childhood Education
Daniel Jones,19,3.69,2,Sophomore,Computer Science
Daniel Robinson,18,1.97,7,Senior,Engineering
Christina Jones,16,1.98,51,Sophomore,Engineering
Jill Anderson,19,0.68,33,Freshmen,Bio Med
Stephanie Anderson,16,3.5,20,Sophomore,Business
Catherine Brown,14,2.39,14,Junior,Computer Science
Jordan Davis,16,1.08,36,Junior,Culinary
Josh Jordan,17,3.85,13,Junior,Culinary
Josh Garcia,14,1.87,20,Junior,Bio Med
Catherine Anderson,19,2.92,21,Junior,Criminal Justice
Jordan Patel,16,1.59,40,Victory Lap,Marketing
Dave Anderson,17,1.74,17,Freshmen,Business
Emma Miller,15,0.84,37,Senior,Culinary
Daniel Johnson,17,0.48,25,Freshmen,Business
Lisa Jordan,19,4.25,50,Freshmen,Early Childhood Education
Ben Savoie,14,3.14,34,Sophomore,Engineering
Christina Lewis,15,2.38,20,Senior,Culinary
Matthew Miller,16,3.82,51,Victory Lap,Culinary
Josh Savoie,16,0.53,22,Senior,Engineering
Joey Smith,14,3.08,57,Victory Lap,Engineering
Josh Jones,14,3.26,31,Victory Lap,Early College
Rachel Jones,14,3.53,8,Sophomore,Culinary
Josh Miller,15,2.81,60,Sophomore,Culinary
Joey Lewis,17,3.97,48,Freshmen,Culinary
Jordan Johnson,19,1.27,36,Sophomore,Business
Markus Miller,19,1.86,16,Victory Lap,Engineering
Marge Savoie,18,3.79,36,Junior,Computer Science
Patrick Johnson,19,1.42,39,Sophomore,Business
Jane Anderson,17,2.37,36,Sophomore,Marketing
Lisa Jordan,14,1.46,54,Freshmen,Marketing
Daniel Miller,16,2.29,26,Freshmen,Criminal Justice
Mack Brown,17,3.14,31,Junior,Engineering
Marge Bradberry,19,2.81,50,Sophomore,Computer Science
Joey Johnson,19,2.96,35,Sophomore,Early College
Aiden Jones,14,3.14,17,Freshmen,Early Childhood Education
Stephanie Jordan,15,1.01,14,Freshmen,Criminal Justice
Stephanie Robinson,17,2.11,43,Senior,Criminal Justice
Noah Smith,17,3.95,54,Sophomore,Culinary
Mack Lewis,17,1.99,7,Senior,Early Childhood Education
Matthew Miller,17,4.02,20,Senior,Culinary
Matthew Johnson,18,1.89,33,Victory Lap,Marketing
Catherine Miller,19,2.88,55,Sophomore,Culinary
Lisa Patel,16,0.81,13,Senior,Early Childhood Education
Aiden Garcia,14,3.52,23,Senior,Early College
Rachel Anderson,15,2.31,13,Senior,Early College
Mack Bradberry,19,2.47,11,Sophomore,Bio Med
Dave Lewis,17,3.59,58,Freshmen,Engineering
Jill Patel,18,2.21,23,Freshmen,Criminal Justice
Ben Patel,19,4.27,48,Sophomore,Marketing
Markus Lewis,14,1.23,0,Sophomore,Early College
Ben Patel,15,4.22,33,Freshmen,Bio Med
Patrick Garcia,16,0.49,39,Sophomore,Engineering
Joey Jones,19,4.14,40,Freshmen,Criminal Justice
Stephanie Garcia,15,0.61,46,Victory Lap,Marketing
Noah Davis,17,1.39,25,Senior,Culinary
Daniel Savoie,14,1.85,18,Senior,Business
Noah Smith,15,1.0,31,Sophomore,Early College
Marge Lewis,14,3.53,25,Junior,Engineering
Noah Anderson,18,2.28,3,Victory Lap,Marketing
Patrick Johnson,15,0.89,28,Sophomore,Computer Science
Christina Savoie,15,3.85,6,Victory Lap,Early Childhood Education
Jordan Johnson,15,1.29,10,Victory Lap,Early Childhood Education
Rachel Smith,18,3.18,24,Sophomore,Computer Science
Emma Jones,15,0.71,44,Victory Lap,Computer Science
Noah Jordan,15,3.52,43,Junior,Early College
Rachel Patel,19,0.74,3,Freshmen,Early College
Mack Jordan,14,0.5,26,Victory Lap,Criminal Justice
Rachel Garcia,16,3.49,40,Freshmen,Engineering
Ben Miller,19,2.52,18,Freshmen,Engineering
Catherine Bradberry,14,1.05,54,Sophomore,Business
Stephanie Patel,19,3.74,48,Junior,Computer Science
Rachel Davis,18,4.06,24,Sophomore,Engineering
Stephanie Lewis,17,3.78,51,Freshmen,Business
Christina Lewis,17,2.57,37,Senior,Culinary
Ben Brown,16,2.96,30,Victory Lap,Marketing
Dave Garcia,15,2.16,35,Senior,Culinary
Ben Jones,15,1.65,35,Senior,Computer Science
Noah Patel,17,3.43,3,Junior,Culinary
Aiden Johnson,14,4.17,5,Junior,Engineering
Jane Jordan,14,4.11,56,Senior,Business
Jill Miller,19,1.28,19,Junior,Engineering
Aiden Robinson,16,3.87,59,Sophomore,Early College
Mack Patel,15,1.33,29,Freshmen,Early College
Marge Johnson,18,0.35,2,Senior,Early Childhood Education
Catherine Brown,17,0.52,17,Junior,Engineering
Marge Miller,18,1.99,15,Junior,Computer Science
Lisa Robinson,16,2.5,21,Freshmen,Bio Med
Mack Lewis,14,1.93,23,Victory Lap,Engineering
Patrick Miller,17,2.9,18,Senior,Business
Dave Miller,16,0.9,21,Senior,Early Childhood Education
Mack Brown,19,2.17,20,Junior,Marketing
Jordan Patel,18,1.76,0,Freshmen,Culinary
Aiden Jones,18,3.11,50,Junior,Culinary
Jill Smith,17,0.9,12,Senior,Criminal Justice
Ben Patel,16,1.28,54,Junior,Culinary
Emma Anderson,16,3.12,31,Victory Lap,Criminal Justice
Dave Garcia,17,3.72,56,Victory Lap,Early College
Daniel Miller,18,0.69,3,Victory Lap,Criminal Justice
Markus Anderson,16,4.17,21,Freshmen,Early College
Aiden Smith,15,0.33,51,Victory Lap,Culinary
Emma Robinson,19,3.74,6,Junior,Culinary
Jill Miller,14,2.99,14,Freshmen,Engineering
Ben Brown,16,2.05,33,Victory Lap,Business
Patrick Jones,17,0.45,45,Senior,Marketing
Noah Jones,19,0.93,37,Sophomore,Business
Lisa Miller,17,2.05,17,Sophomore,Engineering
Marge Lewis,16,2.77,17,Freshmen,Business
Jill Jordan,16,1.53,22,Senior,Business
Joey Lewis,16,2.98,7,Senior,Early Childhood Education
Stephanie Davis,14,3.08,7,Senior,Early Childhood Education
Emma Rulli,17,1.83,22,Senior,Bio Med
Jordan Rulli,16,4.18,50,Senior,Marketing
Dave Patel,14,0.59,7,Freshmen,Early Childhood Education
Marge Robinson,15,4.26,47,Senior,Culinary
Dave Lewis,16,1.19,31,Sophomore,Criminal Justice
Lisa Jordan,17,1.95,23,Sophomore,Engineering
Jane Anderson,19,4.17,59,Victory Lap,Marketing
Dave Smith,17,3.19,9,Senior,Business
Rachel Patel,17,3.68,33,Victory Lap,Marketing
Aiden Anderson,15,0.75,7,Junior,Marketing
Josh Smith,14,4.29,1,Sophomore,Bio Med
Christina Bradberry,15,1.13,52,Freshmen,Marketing
Lisa Miller,17,2.57,3,Freshmen,Early College
Lisa Jordan,16,4.13,40,Senior,Early College
Rachel Robinson,14,2.72,23,Junior,Culinary
Daniel Jordan,15,2.5,56,Victory Lap,Early College
Christina Lewis,16,3.03,14,Junior,Bio Med
Stephanie Brown,14,3.35,60,Victory Lap,Culinary
Noah Johnson,15,1.63,46,Sophomore,Computer Science
Jordan Bradberry,19,3.71,34,Sophomore,Early Childhood Education
Jane Johnson,15,1.5,4,Senior,Engineering
Joey Robinson,18,0.7,39,Senior,Engineering
Lisa Garcia,14,1.68,51,Senior,Culinary
Joey Garcia,14,3.27,2,Victory Lap,Early College
Noah Anderson,15,0.75,38,Victory Lap,Culinary
Jill Lewis,19,2.69,58,Sophomore,Bio Med
Patrick Savoie,19,1.09,17,Freshmen,Bio Med
Noah Anderson,18,1.99,53,Junior,Computer Science
Ben Miller,14,2.28,9,Freshmen,Engineering
Marge Davis,14,3.98,48,Victory Lap,Bio Med
Patrick Garcia,19,0.91,34,Freshmen,Bio Med
Stephanie Brown,16,3.64,58,Senior,Criminal Justice
Lisa Patel,14,1.34,16,Senior,Early Childhood Education
Noah Brown,14,1.74,43,Sophomore,Early College
Stephanie Davis,16,3.02,35,Victory Lap,Culinary
Stephanie Savoie,16,4.01,60,Senior,Business
Ben Johnson,19,1.65,46,Junior,Marketing
Emma Robinson,17,4.09,38,Senior,Marketing
Christina Rulli,19,1.33,28,Senior,Business
Dave Bradberry,18,3.13,60,Freshmen,Engineering
Marge Bradberry,17,3.56,24,Freshmen,Criminal Justice
Noah Johnson,18,3.14,38,Victory Lap,Early College
Dave Smith,18,0.39,56,Junior,Engineering
Aiden Miller,17,3.75,15,Junior,Early College
Markus Brown,17,0.73,23,Senior,Engineering
Marge Jordan,14,3.18,57,Junior,Computer Science
Ben Savoie,17,4.27,52,Freshmen,Culinary
Jill Davis,18,3.37,1,Sophomore,Culinary
Dave Rulli,14,4.28,23,Senior,Engineering
Noah Lewis,18,2.11,57,Freshmen,Criminal Justice
Lisa Lewis,17,2.95,37,Junior,Business
Mack Davis,16,0.33,60,Sophomore,Engineering
Matthew Bradberry,16,0.68,52,Sophomore,Marketing
Patrick Johnson,14,4.1,54,Sophomore,Early Childhood Education
Jane Davis,17,1.76,8,Victory Lap,Computer Science
Aiden Garcia,18,3.32,59,Junior,Business
Aiden Johnson,17,1.8,51,Victory Lap,Culinary
Rachel Jones,18,2.45,57,Freshmen,Early Childhood Education
Marge Bradberry,14,2.27,28,Sophomore,Engineering
Daniel Brown,16,2.43,41,Victory Lap,Early College
Matthew Brown,14,1.62,10,Freshmen,Criminal Justice
Lisa Bradberry,14,2.3,5,Junior,Business
Noah Jordan,14,1.75,18,Sophomore,Early College
Christina Bradberry,15,3.42,28,Freshmen,Business
Josh Miller,14,0.35,31,Senior,Criminal Justice
Jane Savoie,16,1.58,44,Freshmen,Marketing
Catherine Smith,19,0.79,8,Junior,Bio Med
Joey Patel,18,2.83,44,Victory Lap,Engineering
Ben Johnson,14,3.27,13,Freshmen,Early College
Mack Robinson,14,0.7,11,Sophomore,Computer Science
Joey Garcia,19,2.67,3,Victory Lap,Computer Science
Aiden Lewis,19,1.14,60,Sophomore,Engineering
Lisa Jones,17,4.05,42,Sophomore,Early College
Christina Garcia,14,2.63,13,Victory Lap,Criminal Justice
Patrick Davis,19,0.84,10,Senior,Criminal Justice
Josh Savoie,17,3.4,48,Senior,Early College
Josh Garcia,19,1.47,35,Sophomore,Early College
Rachel Lewis,17,1.95,17,Victory Lap,Early Childhood Education
Aiden Lewis,19,0.41,40,Victory Lap,Bio Med
Jordan Smith,16,0.51,58,Junior,Engineering
Lisa Brown,15,1.53,31,Freshmen,Early Childhood Education
Josh Brown,16,2.61,39,Freshmen,Bio Med
Daniel Johnson,18,4.2,24,Sophomore,Business
Josh Smith,17,4.0,46,Freshmen,Culinary
Mack Garcia,15,1.48,9,Junior,Criminal Justice
Patrick Savoie,16,1.58,47,Junior,Early Childhood Education
Aiden Lewis,16,2.35,39,Senior,Marketing
Stephanie Patel,15,0.58,5,Victory Lap,Criminal Justice
Markus Lewis,17,2.53,10,Senior,Criminal Justice
Emma Patel,15,0.48,16,Freshmen,Early Childhood Education
Noah Garcia,19,1.73,49,Freshmen,Bio Med
Ben Savoie,16,2.67,43,Sophomore,Early Childhood Education
Ben Brown,16,3.94,15,Junior,Bio Med
Joey Patel,14,2.86,43,Senior,Criminal Justice
Patrick Brown,17,1.69,22,Junior,Culinary
Catherine Smith,17,0.58,17,Freshmen,Computer Science
Josh Garcia,19,2.08,5,Junior,Early College
Emma Jordan,18,2.71,38,Senior,Early College
Rachel Bradberry,17,4.13,29,Victory Lap,Culinary
Noah Savoie,15,2.2,50,Victory Lap,Bio Med
Marge Rulli,18,1.46,58,Freshmen,Early Childhood Education
Catherine Brown,14,2.12,16,Sophomore,Culinary
Stephanie Smith,17,1.67,0,Victory Lap,Computer Science
Josh Jones,14,2.84,5,Junior,Bio Med
Marge Smith,15,0.68,18,Freshmen,Computer Science
Markus Bradberry,18,3.45,0,Freshmen,Early Childhood Education
Jordan Rulli,16,4.27,30,Victory Lap,Engineering
Joey Rulli,14,1.24,30,Junior,Bio Med
Matthew Lewis,18,4.18,25,Junior,Computer Science
Joey Garcia,16,3.76,21,Junior,Culinary
Daniel Robinson,15,0.42,58,Victory Lap,Bio Med
Stephanie Robinson,16,2.55,59,Sophomore,Marketing
Stephanie Lewis,16,1.81,17,Senior,Computer Science
Jill Miller,17,3.41,44,Senior,Early Childhood Education
Stephanie Davis,15,3.67,55,Freshmen,Bio Med
Christina Brown,16,4.04,55,Victory Lap,Engineering
Catherine Robinson,17,3.86,42,Sophomore,Bio Med
Rachel Miller,15,4.15,3,Sophomore,Criminal Justice
Patrick Johnson,15,1.49,42,Sophomore,Early College
Jane Rulli,16,3.14,22,Freshmen,Business
Mack Johnson,17,2.52,58,Victory Lap,Marketing
Marge Jones,18,4.21,6,Sophomore,Criminal Justice
Jill Rulli,16,2.65,35,Freshmen,Culinary
Matthew Garcia,16,3.73,10,Junior,Engineering
Joey Smith,19,1.22,13,Victory Lap,Engineering
Stephanie Smith,16,0.75,15,Sophomore,Early College
Rachel Davis,15,1.14,54,Freshmen,Early College
Jane Smith,18,1.87,60,Junior,Criminal Justice
Dave Bradberry,19,2.16,9,Freshmen,Early College
Aiden Savoie,15,3.37,33,Senior,Early Childhood Education
Christina Bradberry,16,3.32,14,Victory Lap,Early Childhood Education
Joey Rulli,16,3.74,54,Freshmen,Computer Science
Marge Smith,14,1.58,16,Senior,Engineering
Emma Davis,15,1.41,23,Sophomore,Bio Med
Jill Smith,14,1.41,15,Sophomore,Early College
Catherine Anderson,17,3.2,37,Freshmen,Marketing
Aiden Patel,14,4.23,20,Victory Lap,Criminal Justice
Lisa Davis,14,3.56,17,Victory Lap,Early Childhood Education
Matthew Johnson,15,1.79,7,Freshmen,Early College
Ben Brown,17,1.06,25,Victory Lap,Early College
Stephanie Brown,14,2.17,14,Junior,Computer Science
Matthew Jones,17,2.88,19,Junior,Criminal Justice
